id,grid_code,geometry_wkt,ocean_fraction,orbit_state,datetime,product_type
BIO_S3_SCS__1S_20260608T234743_20260608T234806_T_G01_M03_C02_T030_F017_02_DSQZT6,WRS-30-17,"POLYGON ((86.94332 19.074142, 86.43087 18.95878, 86.77702 17.559431, 87.28548 17.67368, 86.94332 19.074142))",1.0,ascending,2026-06-08T23:47:43.352Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T025142_20260609T025207_T_G01_M03_C02_T031_F288_02_DSR5QO,WRS-31-288,"POLYGON ((47.64603 -25.93076, 47.088093 -26.02782, 47.41196 -27.514923, 47.978767 -27.417856, 47.64603 -25.93076))",1.0,ascending,2026-06-09T02:51:42.867Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T025813_20260609T025827_T_G01_M03_C02_T031_F308_02_DSR54K,WRS-31-308,"POLYGON ((42.758785 -2.850456, 42.26774 -2.953309, 42.451065 -3.82969, 42.942963 -3.727167, 42.758785 -2.850456))",1.0,ascending,2026-06-09T02:58:13.249Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T062204_20260609T062228_T_G01_M03_C02_T034_F022_02_DSRZ88,WRS-34-22,"POLYGON ((-12.77774 25.018547, -13.309422 24.898258, -12.925055 23.467525, -12.397761 23.586756, -12.77774 25.018547))",-2.220446049250313e-16,ascending,2026-06-09T06:22:04.968Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T062127_20260609T062147_T_G01_M03_C02_T034_F020_02_DSRKTP,WRS-34-20,"POLYGON ((-12.119774 22.521795, -12.643156 22.403524, -12.323817 21.171036, -11.80885 21.287306, -12.119774 22.521795))",1.1102230246251565e-16,ascending,2026-06-09T06:21:27.003Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T054809_20260609T054829_T_G01_M03_C02_T033_F225_02_DSRJWG,WRS-33-225,"POLYGON ((151.31386 -79.98889, 153.67001 -80.24022, 157.08017 -79.16154, 154.86247 -78.931175, 151.31386 -79.98889))",-2.220446049250313e-16,descending,2026-06-09T05:48:09.208Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T092304_20260609T092315_T_G01_M03_C02_T035_F283_02_DSRIB0,WRS-35-283,"POLYGON ((-49.221138 -31.681986, -49.823177 -31.78033, -49.661346 -32.489326, -49.053787 -32.39089, -49.221138 -31.681986))",1.0,ascending,2026-06-09T09:23:04.241Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T102321_20260609T102334_T_G01_M03_C02_T036_F164_02_DSRNOS,WRS-36-164,"POLYGON ((115.85133 -10.754684, 116.35435 -10.854652, 116.52501 -10.026923, 116.02385 -9.926713, 115.85133 -10.754684))",1.0,descending,2026-06-09T10:23:21.011Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T101410_20260609T101430_T_G01_M03_C02_T036_F135_02_DSRNXB,WRS-36-135,"POLYGON ((123.2241 22.293219, 123.74809 22.174467, 124.07383 23.405996, 123.54512 23.525925, 123.2241 22.293219))",1.0,descending,2026-06-09T10:14:10.203Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T101429_20260609T101449_T_G01_M03_C02_T036_F136_02_DSRN9E,WRS-36-136,"POLYGON ((122.930504 21.143679, 123.450294 21.026, 123.770676 22.258228, 123.246445 22.377047, 122.930504 21.143679))",1.0,descending,2026-06-09T10:14:29.184Z,S3_SCS__1S
BIO_S3_SCS__1S_20260609T093419_20260609T093440_T_G01_M03_C02_T036_F009_02_DSRII6,WRS-36-9,"POLYGON ((-58.167084 9.85343, -58.660583 9.744372, -58.382477 8.506803, -57.89039 8.615142, -58.167084 9.85343))",1.0,ascending,2026-06-09T09:34:19.943Z,S3_SCS__1S
